updateDate,code,code_name
2023-03-20,sh.600000,浦发银行
2023-03-20,sh.600009,上海机场
2023-03-20,sh.600010,包钢股份
2023-03-20,sh.600011,华能国际
2023-03-20,sh.600015,华夏银行
2023-03-20,sh.600016,民生银行
2023-03-20,sh.600018,上港集团
2023-03-20,sh.600019,宝钢股份
2023-03-20,sh.600025,华能水电
2023-03-20,sh.600028,中国石化
2023-03-20,sh.600029,南方航空
2023-03-20,sh.600030,中信证券
2023-03-20,sh.600031,三一重工
2023-03-20,sh.600036,招商银行
2023-03-20,sh.600039,四川路桥
2023-03-20,sh.600048,保利发展
2023-03-20,sh.600050,中国联通
2023-03-20,sh.600061,国投资本
2023-03-20,sh.600085,同仁堂
2023-03-20,sh.600089,特变电工
2023-03-20,sh.600104,上汽集团
2023-03-20,sh.600111,北方稀土
2023-03-20,sh.600115,中国东航
2023-03-20,sh.600132,重庆啤酒
2023-03-20,sh.600150,中国船舶
2023-03-20,sh.600176,中国巨石
2023-03-20,sh.600183,生益科技
2023-03-20,sh.600188,兖矿能源
2023-03-20,sh.600196,复星医药
2023-03-20,sh.600219,南山铝业
2023-03-20,sh.600233,圆通速递
2023-03-20,sh.600276,恒瑞医药
2023-03-20,sh.600309,万华化学
2023-03-20,sh.600332,白云山
2023-03-20,sh.600346,恒力石化
2023-03-20,sh.600362,江西铜业
2023-03-20,sh.600383,金地集团
2023-03-20,sh.600406,国电南瑞
2023-03-20,sh.600426,华鲁恒升
2023-03-20,sh.600436,片仔癀
2023-03-20,sh.600438,通威股份
2023-03-20,sh.600460,士兰微
2023-03-20,sh.600519,贵州茅台
2023-03-20,sh.600547,山东黄金
2023-03-20,sh.600570,恒生电子
2023-03-20,sh.600584,长电科技
2023-03-20,sh.600585,海螺水泥
2023-03-20,sh.600588,用友网络
2023-03-20,sh.600600,青岛啤酒
2023-03-20,sh.600606,绿地控股
2023-03-20,sh.600660,福耀玻璃
2023-03-20,sh.600674,川投能源
2023-03-20,sh.600690,海尔智家
2023-03-20,sh.600741,华域汽车
2023-03-20,sh.600745,闻泰科技
2023-03-20,sh.600760,中航沈飞
2023-03-20,sh.600763,通策医疗
2023-03-20,sh.600795,国电电力
2023-03-20,sh.600803,新奥股份
2023-03-20,sh.600809,山西汾酒
2023-03-20,sh.600837,海通证券
2023-03-20,sh.600845,宝信软件
2023-03-20,sh.600884,杉杉股份
2023-03-20,sh.600886,国投电力
2023-03-20,sh.600887,伊利股份
2023-03-20,sh.600893,航发动力
2023-03-20,sh.600900,长江电力
2023-03-20,sh.600905,三峡能源
2023-03-20,sh.600918,中泰证券
2023-03-20,sh.600919,江苏银行
2023-03-20,sh.600926,杭州银行
2023-03-20,sh.600941,中国移动
2023-03-20,sh.600958,东方证券
2023-03-20,sh.600989,宝丰能源
2023-03-20,sh.600999,招商证券
2023-03-20,sh.601006,大秦铁路
2023-03-20,sh.601009,南京银行
2023-03-20,sh.601012,隆基绿能
2023-03-20,sh.601021,春秋航空
2023-03-20,sh.601066,中信建投
2023-03-20,sh.601088,中国神华
2023-03-20,sh.601100,恒立液压
2023-03-20,sh.601111,中国国航
2023-03-20,sh.601117,中国化学
2023-03-20,sh.601138,工业富联
2023-03-20,sh.601155,新城控股
2023-03-20,sh.601166,兴业银行
2023-03-20,sh.601169,北京银行
2023-03-20,sh.601186,中国铁建
2023-03-20,sh.601211,国泰君安
2023-03-20,sh.601216,君正集团
2023-03-20,sh.601225,陕西煤业
2023-03-20,sh.601229,上海银行
2023-03-20,sh.601236,红塔证券
2023-03-20,sh.601238,广汽集团
2023-03-20,sh.601288,农业银行
2023-03-20,sh.601318,中国平安
2023-03-20,sh.601319,中国人保
2023-03-20,sh.601328,交通银行
2023-03-20,sh.601336,新华保险
2023-03-20,sh.601360,三六零
2023-03-20,sh.601377,兴业证券
2023-03-20,sh.601390,中国中铁
2023-03-20,sh.601398,工商银行
2023-03-20,sh.601600,中国铝业
2023-03-20,sh.601601,中国太保
2023-03-20,sh.601615,明阳智能
2023-03-20,sh.601618,中国中冶
2023-03-20,sh.601628,中国人寿
2023-03-20,sh.601633,长城汽车
2023-03-20,sh.601658,邮储银行
2023-03-20,sh.601668,中国建筑
2023-03-20,sh.601669,中国电建
2023-03-20,sh.601688,华泰证券
2023-03-20,sh.601689,拓普集团
2023-03-20,sh.601698,中国卫通
2023-03-20,sh.601728,中国电信
2023-03-20,sh.601766,中国中车
2023-03-20,sh.601788,光大证券
2023-03-20,sh.601799,星宇股份
2023-03-20,sh.601800,中国交建
2023-03-20,sh.601808,中海油服
2023-03-20,sh.601816,京沪高铁
2023-03-20,sh.601818,光大银行
2023-03-20,sh.601838,成都银行
2023-03-20,sh.601857,中国石油
2023-03-20,sh.601865,福莱特
2023-03-20,sh.601868,中国能建
2023-03-20,sh.601877,正泰电器
2023-03-20,sh.601878,浙商证券
2023-03-20,sh.601881,中国银河
2023-03-20,sh.601888,中国中免
